date,max_risk,avg_risk,had_critical,had_warning
2025-06-01,0.2573358,0.0972189,False,False
2025-06-02,0.3194074,0.1088511,False,True
2025-06-03,0.1287241,0.0776899,False,False
2025-06-04,0.0703593,0.039132,False,False
2025-06-05,0.0410491,0.0262348,False,False
2025-06-06,0.1575416,0.0715569,False,False
2025-06-07,0.2856448,0.0935175,False,False
2025-06-08,0.2746907,0.1877991,False,False
2025-06-09,0.4128844,0.1486352,False,True
2025-06-10,0.1305834,0.0476098,False,False
2025-06-11,0.074431,0.0431225,False,False
2025-06-12,0.1091668,0.0544235,False,False
2025-06-13,0.4701256,0.2491088,False,True
2025-06-14,0.097657,0.0502584,False,False
2025-06-15,0.1892397,0.0841658,False,False
2025-06-16,0.2805359,0.1082691,False,False
2025-06-17,0.837569,0.5400687,True,True
2025-06-18,0.1322793,0.0466855,False,False
2025-06-19,0.1221259,0.0414402,False,False
2025-06-20,0.5908639,0.2427186,False,True
2025-06-21,0.329788,0.2033513,False,True
2025-06-22,0.064293,0.0442409,False,False
2025-06-23,0.2783025,0.1733049,False,False
2025-06-24,0.0387853,0.0165995,False,False
2025-06-25,0.0528035,0.035884,False,False
2025-06-26,0.2763618,0.1696791,False,False
2025-06-27,0.1678459,0.0989844,False,False
2025-06-28,0.2569735,0.159708,False,False
2025-06-29,0.7966393,0.6257494,True,True
2025-06-30,0.1331336,0.0711547,False,False
2025-07-01,0.2329723,0.1387839,False,False
2025-07-02,0.0307734,0.0163367,False,False
2025-07-03,0.1132465,0.0502292,False,False
2025-07-04,0.2836632,0.0979059,False,False
2025-07-05,0.1176551,0.0694359,False,False
2025-07-06,0.9209374,0.2951709,True,True
2025-07-07,0.8709253,0.3432488,True,True
2025-07-08,0.1503828,0.1171273,False,False
2025-07-09,0.2370707,0.17038,False,False
2025-07-10,0.7252144,0.4518547,True,True
2025-07-11,0.2081341,0.1655692,False,False
2025-07-12,0.1807455,0.0871101,False,False
2025-07-13,0.8158376,0.56067,True,True
2025-07-14,0.0246623,0.0151782,False,False
2025-07-15,0.1023134,0.0592376,False,False
2025-07-16,0.0805588,0.0584682,False,False
2025-07-17,0.8802075,0.3302421,True,True
2025-07-18,0.1958114,0.1484981,False,False
2025-07-19,0.1936953,0.1222348,False,False
2025-07-20,0.2084735,0.0713729,False,False
2025-07-21,0.1901781,0.088288,False,False
2025-07-22,0.2067926,0.1599653,False,False
2025-07-23,0.9728219,0.3373031,True,True
2025-07-24,0.1523768,0.047102,False,False
2025-07-25,0.2763274,0.1301132,False,False
2025-07-26,0.374882,0.2999012,False,True
2025-07-27,0.0928218,0.0644239,False,False
2025-07-28,0.1611358,0.1078517,False,False
2025-07-29,0.1953402,0.1441994,False,False
2025-07-30,0.177229,0.0668377,False,False
2025-07-31,0.2039968,0.1249216,False,False
2025-08-01,0.9156337,0.2946932,True,True
2025-08-02,0.211484,0.1659714,False,False
2025-08-03,0.2206695,0.1526813,False,False
2025-08-04,0.0769672,0.0602498,False,False
2025-08-05,0.65255,0.2590676,False,True
2025-08-06,0.1697174,0.0883037,False,False
2025-08-07,0.6034684,0.3327847,False,True
2025-08-08,0.0553763,0.0221422,False,False
2025-08-09,0.2544405,0.0829705,False,False
2025-08-10,0.1139394,0.0874082,False,False
2025-08-11,0.5012047,0.181606,False,True
2025-08-12,0.0548875,0.0287973,False,False
